origin_id,destination_id,origin_store,destination_store,distance_meters,duration_seconds,duration_minutes
L53,L35,Bata Shoe Store,Roastery Coffee House,16989,1682,28.03
L32,L43,Karachi Bakery,Naturals Salon,53412,3932,65.53
L43,L53,Naturals Salon,Bata Shoe Store,54748,3112,51.87
L35,L53,Roastery Coffee House,Bata Shoe Store,18271,1735,28.92
L35,L32,Roastery Coffee House,Karachi Bakery,86462,6066,101.1
L43,L35,Naturals Salon,Roastery Coffee House,67034,4003,66.72
L43,L32,Naturals Salon,Karachi Bakery,54939,4269,71.15
L53,L32,Bata Shoe Store,Karachi Bakery,98253,6356,105.93
L35,L43,Roastery Coffee House,Naturals Salon,67608,4022,67.03
L32,L53,Karachi Bakery,Bata Shoe Store,101154,6246,104.1
L1,L40,Ratnadeep Supermarket,Apollo Health City,56638,3402,56.7
L1,L25,Ratnadeep Supermarket,IKEA Hyderabad,34334,3246,54.1
L31,L33,Cafe Niloufer,Pista House,59316,5002,83.37
L33,L40,Pista House,Apollo Health City,92468,5637,93.95
L31,L1,Cafe Niloufer,Ratnadeep Supermarket,27877,2894,48.23
L33,L25,Pista House,IKEA Hyderabad,20328,2486,41.43
L31,L40,Cafe Niloufer,Apollo Health City,47018,3737,62.28
L33,L31,Pista House,Cafe Niloufer,60400,5058,84.3
L25,L33,IKEA Hyderabad,Pista House,20681,2543,42.38
L40,L33,Apollo Health City,Pista House,88029,5473,91.22
L40,L31,Apollo Health City,Cafe Niloufer,46926,3683,61.38
L40,L25,Apollo Health City,IKEA Hyderabad,89526,5844,97.4
L25,L31,IKEA Hyderabad,Cafe Niloufer,51075,5171,86.18
L25,L1,IKEA Hyderabad,Ratnadeep Supermarket,34358,3280,54.67
L25,L40,IKEA Hyderabad,Apollo Health City,89139,5856,97.6
L1,L33,Ratnadeep Supermarket,Pista House,44612,3527,58.78
L1,L31,Ratnadeep Supermarket,Cafe Niloufer,27363,2806,46.77
L40,L1,Apollo Health City,Ratnadeep Supermarket,56590,3364,56.07
L33,L1,Pista House,Ratnadeep Supermarket,45850,3617,60.28
L31,L25,Cafe Niloufer,IKEA Hyderabad,52153,5291,88.18
